FLIGHT_DATE,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1/1/15,OO,4817,CVG,DTW,1:00:00 PM,1:00:00 PM,0,12,1:12:00 PM,75,70,47,229,1:59:00 AM,11,2:15:00 PM,2:10:00 PM,-5,0,0,,,,,,
1/1/15,OO,5269,IAH,CVG,1:05:00 PM,1:07:00 PM,2,19,1:26:00 PM,133,128,104,871,1:10:00 AM,5,4:18:00 PM,4:15:00 PM,-3,0,0,,,,,,
1/1/15,EV,4687,EWR,CVG,1:32:00 PM,1:29:00 PM,-3,13,1:42:00 PM,132,130,112,569,1:34:00 AM,5,3:44:00 PM,3:39:00 PM,-5,0,0,,,,,,
1/1/15,MQ,3162,DFW,CVG,1:45:00 PM,1:46:00 PM,1,14,2:00:00 PM,123,124,108,812,1:48:00 AM,2,4:48:00 PM,4:50:00 PM,2,0,0,,,,,,
1/1/15,DL,2603,CVG,MCO,1:51:00 PM,1:48:00 PM,-3,9,1:57:00 PM,133,118,102,757,1:39:00 AM,7,4:04:00 PM,3:46:00 PM,-18,0,0,,,,,,
1/1/15,DL,841,CVG,TPA,1:55:00 PM,1:54:00 PM,-1,7,2:01:00 PM,131,112,103,773,1:44:00 AM,2,4:06:00 PM,3:46:00 PM,-20,0,0,,,,,,
1/1/15,F9,739,CVG,DEN,1:59:00 PM,2:20:00 PM,21,18,2:38:00 PM,186,205,180,1069,1:38:00 AM,7,3:05:00 PM,3:45:00 PM,40,0,0,,19,0,15,6,0
1/1/15,MQ,2999,CVG,ORD,2:00:00 PM,1:55:00 PM,-5,9,2:04:00 PM,90,71,54,265,1:58:00 AM,8,2:30:00 PM,2:06:00 PM,-24,0,0,,,,,,
1/1/15,EV,4663,CVG,EWR,2:17:00 PM,2:07:00 PM,-10,14,2:21:00 PM,117,103,79,569,1:40:00 AM,10,4:14:00 PM,3:50:00 PM,-24,0,0,,,,,,
1/1/15,MQ,2904,CVG,DFW,2:35:00 PM,2:28:00 PM,-7,13,2:41:00 PM,160,183,149,812,1:10:00 AM,21,4:15:00 PM,4:31:00 PM,16,0,0,,16,0,0,0,0
1/1/15,MQ,2963,JFK,CVG,3:10:00 PM,3:49:00 PM,39,15,4:04:00 PM,138,126,106,589,1:50:00 AM,5,5:28:00 PM,5:55:00 PM,27,0,0,,0,0,27,0,0
1/1/15,EV,4489,CVG,IAH,3:13:00 PM,3:14:00 PM,1,11,3:25:00 PM,158,194,165,871,1:10:00 AM,18,4:51:00 PM,5:28:00 PM,37,0,0,,36,0,1,0,0
